Public,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
30/04/2001,0.004624713,0.005002414,-0.014763136,-0.025802836,-0.004380304,-0.004626094,-0.009476521,-0.012190666,-0.009592583,-0.005977123,-0.012945015,-0.003271049,-0.003778842,0.000678818,-0.003416335,-0.007936507,-0.027846478,-0.010528908,0.067015101,0.058382937,0.022034973,0.007779052,0.070235965,0.075320771,0.011278172,-0.005999982,0.081077421,0.045209005,0.083652752,0.019347667,-0.001206129,0.000193742,-0.010528908,-0.009476521,-0.014763136,0.074042955,0.003341654,0.052775797,0.055945947,0.047411698,0.083758014,0.077710481,0.179227013,0.035183647,0.012186079,0.044710011,0.063841736,0.036109751,0.005822317
31/05/2001,0.004453475,0.004623884,-0.003129696,0.010138249,0.002337705,0.01651792,0.003487175,0.002346934,0.003678566,0.010721332,0.018385754,0.008874931,0.008065326,0.025147798,0.055362722,0.006681321,0.028172993,0.019415059,-0.020095968,0.004480586,0.013517282,0.061256626,-0.043711914,-0.006501963,0.00110052,0.04312375,-0.000811386,0.00594916,0.010771667,-0.00289331,0.001874062,0.006489105,0.019415059,0.003487175,-0.003129696,-0.012256459,-0.001775526,-0.040467001,-0.02632486,0.022975383,0.034309822,0.006699928,-0.029727547,-0.020969329,0.000408257,-0.003151553,-0.005245559,0,0.007627349
29/06/2001,0.004067984,0.004024786,-0.000974334,0.013867319,0.001437879,-0.034581182,0.00412663,0.007683791,0.004783144,0.005140489,-0.022378033,0.005001793,0.004667132,0.018858996,0.014860546,0.008820192,-0.075329911,-0.014070321,-0.036079052,-0.038927273,-0.009538881,-0.0091018,-0.033393962,-0.025339058,-0.018699563,-0.068858109,-0.056572745,-0.011917243,-0.016080646,-0.00292344,-0.007012976,-0.004137799,-0.014070321,0.00412663,-0.000974334,-0.03715877,-0.017412978,-0.012830526,-0.024300604,-0.016996266,-0.030211093,-0.024338592,0.016836941,-0.039882273,-0.01022004,-0.018008625,-0.022590146,0,0.001973506
31/07/2001,0.004467804,0.004676761,0.022189805,0.011118274,0.02923153,-0.014683813,0.021338962,0.015310442,0.01321004,0.011760337,0.011982307,0.027103218,0.019855678,-0.064622381,-0.1305461,0.014023536,-0.023885034,-0.015726094,-0.003087919,-0.082977249,-0.077916711,-0.146521997,-0.000192279,-0.026414897,-0.084937136,-0.026639348,-0.086136695,-0.061992662,-0.01842651,0.015968358,0.022911444,0.026379358,-0.015726094,0.021338962,0.022189805,-0.029616161,-0.039559325,-0.073277774,-0.012214981,-0.052578085,-0.044488342,-0.009844131,-0.08003471,0.013024087,0.014279334,-0.006684361,-0.019015946,0.035976241,-0.007649138
31/08/2001,0.004240706,0.00497103,0.014548183,0.019006319,0.016640301,0.00824479,0.010326067,0.01010331,0.008862187,0.010078918,0.009210287,0.012986463,0.009992595,0.052670748,0.080664488,0.009731956,-0.022337294,0.026356345,-0.005024732,-0.025720868,-0.018741323,-0.036900555,-0.023010174,-0.042696077,-0.005459218,-0.013702477,-0.030401636,-0.038941287,-0.05923666,0.039424573,0.030102442,0.026266244,0.026356345,0.010326067,0.014548183,-0.067409891,-0.025180223,-0.070912286,-0.026752714,-0.00660888,0.025322466,-0.062601734,-0.126987329,-0.000440203,0.017362701,-0.01357667,-0.031776299,0,0.003983197
28/09/2001,0.003684816,0.00461231,0.000466197,-0.020027008,-0.015842689,-0.093515093,0.014803143,0.007303372,0.007701577,-0.004724195,-0.06611069,-0.003353432,0.000999741,-0.035806824,-0.017032148,-0.002113629,-0.100841209,-0.05797812,-0.081038929,-0.08730609,-0.118858079,-0.054895517,-0.107352272,-0.095947348,-0.134084446,-0.152087736,-0.066889244,-0.164555789,-0.090760185,-0.062535352,0.007758676,-0.001376026,-0.05797812,0.014803143,0.000466197,-0.120871858,-0.149799266,-0.091786778,-0.078026013,-0.133574989,-0.213456047,-0.080752547,-0.205018959,-0.067455018,-0.010389878,-0.054464938,-0.080391444,0,0.0027352
31/10/2001,0.004097157,0.004728086,0.029605765,0.033280868,0.037278932,0.075001746,0.022749774,0.025043735,0.020848497,0.025764099,0.030128673,0.024610247,0.019309018,-0.005081851,-0.060992026,0.021011603,0.077962578,0.01262158,0.021546351,0.019400069,0.036037701,-0.040573789,0.036876289,0.029002812,0.022203315,0.068404763,0.009084048,0.031375281,0.027714893,-0.014859371,0.00903751,0.012952423,0.01262158,0.022749774,0.029605765,0.048553705,0.056965005,0.025354286,0.030094255,0.064618092,0.075174782,0.019068976,0.16817533,-0.047465514,0.012531438,0.021016691,0.026008017,-0.020067325,-0.001633943
30/11/2001,0.003393053,0.003751688,-0.003792312,-0.005573093,0.005177348,-0.00228355,-0.019465008,-0.005173841,-0.010095351,-0.012843996,0.032921892,-0.008451327,-0.005603135,-0.007367025,-0.073534138,-0.001078758,0.039001394,0.021716085,0.012722939,0.031643407,0.099107382,0.042033817,0.039152514,0.058996054,0.084634083,0.115164309,-0.011083762,0.087220845,0.078893977,-0.04396138,-0.011622261,-0.007708356,0.021716085,-0.019465008,-0.003792312,0.055769911,0.129267549,0.01674423,0.042040413,0.101232458,0.11533328,0.07670628,0.169537412,0.007725493,0.000735944,0.030748728,0.048403306,0,-0.001961235
31/12/2001,0.003286837,0.003207408,-0.020380988,-0.016763763,-0.018619233,-0.014932872,-0.007791415,-0.012151229,-0.008369014,-0.012335014,-0.00944161,-0.007234946,-0.006452178,0.011429408,-0.068714848,-0.01079913,-0.009281222,-0.001477755,0.023183716,-0.025782883,0.045755046,-0.050902616,0.021351854,0.012669653,0.060151802,0.004273932,-0.076601268,0.117305185,0.019246326,0.003381322,-0.020899119,-0.016724547,-0.001477755,-0.007791415,-0.020380988,0.031476772,0.09457426,-0.007309474,0.003085985,0.094893672,0.012693185,0.008760567,-0.011880928,-0.019699804,-0.015024584,-0.000757856,0.007634337,0,0.002534287
31/01/2002,0.003341445,0.003525893,0.014752211,0.004160723,0.027793715,-0.012174619,0.005748073,0.004396403,0.002265561,0.004419091,0.003995571,0.008485645,0.00555376,0.02191568,0.05822595,0.007725899,0.001561363,0.008281378,-0.036697388,-0.038339268,0.006576917,-0.108974963,-0.043610526,-0.025378757,-0.001529433,0.021672962,-0.074878611,-0.02902236,-0.010872421,0.03832072,-0.008983649,-0.004647272,0.008281378,0.005748073,0.014752211,-0.026743192,0.039505304,-0.059172393,-0.013587794,0.040473583,-0.023947076,-0.014593148,-0.016987786,-0.006725883,-0.011852793,-0.018820714,-0.022919491,-0.003479533,-0.003230821
